Filename,SMILES
molecule_1109.sdf,COc1ccc(CC(=O)N2CC[C@H]3CC(=O)N(Cc4cccnc4)CC[C@H]3C2)cc1
molecule_111.sdf,O=C(Nc1ccc(Cl)cc1)N1C[C@@H]2C[C@H](C1)c1ccc(-c3cccnc3)c(=O)n1C2
molecule_1110.sdf,CC(=O)Nc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H](C2)c2ccc(-c4cc5ccccc5s4)c(=O)n2C3)cc1
molecule_1111.sdf,CC(C)(C)C(=O)Nc1nc2c(s1)C[C@@H]1[C@](C)(CO)[C@H](O)CC[C@@]1(C)[C@@H]2CC(=O)Nc1cccc(O)c1
molecule_1112.sdf,C[C@]1(CO)[C@H]2Cc3sc(NC(=O)c4ccco4)nc3[C@@H](CC(=O)Nc3ccccc3)[C@]2(C)CC[C@H]1O
molecule_1113.sdf,CCOC(=O)C[C@@H]1C[C@@H](C(C)C)[C@H](CNC(=O)c2ccncc2)C=C1C
molecule_1114.sdf,C[C@]1(CO)[C@H]2CC[C@@H](O)[C@@H](CC(=O)N3CCC[C@H]3CO)[C@]2(C)CC[C@H]1OC(=O)Nc1ccc(Cl)c(Cl)c1
molecule_1115.sdf,CCNC(=O)O[C@@H]1CC[C@]2(C)[C@H](CC[C@@H](O)[C@H]2CC(=O)NCc2cc(F)cc(F)c2)[C@]1(C)CO
molecule_1116.sdf,COCC(=O)Nc1nc2c(s1)C[C@@H]1[C@](C)(CO)[C@H](O)CC[C@@]1(C)[C@@H]2CC(=O)NCc1cccnc1
molecule_1117.sdf,O=C(c1cccs1)N1C[C@@H]2C[C@H](C1)c1c(-c3ccccc3)ccc(=O)n1C2
molecule_1118.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)Nc2ccc(Cl)cc2)n1
molecule_1119.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)Nc2cccc(C#N)c2)n1
molecule_112.sdf,O=c1c(-c2cccnc2)ccc2n1C[C@H]1C[C@@H]2CN(S(=O)(=O)c2cccs2)C1
molecule_1120.sdf,COc1ccc(C(=O)N[C@@H]2CN(C(=O)Nc3cccc(C(F)(F)F)c3)CCC[C@H]2O)cc1
molecule_1121.sdf,Cc1nc(-c2ccc(F)cc2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)Nc2cccc(C#N)c2)n1
molecule_1122.sdf,COc1ccc(-c2cc([C@H]3CN4CC[C@H]3C[C@@H]4CNC(=O)C3CCC3)nc(C)n2)cc1OC
