Molecule Name,AI Confidence,Breadth Score,Local Score
molecule_305,-2.0831751823425293,-6.8,17.6
molecule_306,-2.4558775424957275,-6.7,9.1
molecule_307,-3.0002949237823486,-6.6,8.3
molecule_308,-3.3890984058380127,-6.6,7.7
molecule_309,-2.9643187522888184,-7.2,20.4
molecule_310,-3.2895402908325195,-6.9,10.5
molecule_311,-2.8643271923065186,-7.3,15.7
molecule_312,-3.3379528522491455,-6.9,9.7
molecule_313,-3.696956157684326,-6.1,4.8
molecule_314,-3.4609649181365967,-5.8,5.3
molecule_315,-3.3525068759918213,-6.3,10.4
molecule_316,-3.6950409412384033,-6.7,19.0
molecule_317,-3.0478038787841797,-6.5,8.7
molecule_318,-3.1371476650238037,-6.5,9.2
molecule_319,-1.902971863746643,-6.3,6.1
molecule_320,-2.436807870864868,-6.7,9.3
molecule_321,-3.0345370769500732,-6.3,11.7
molecule_322,-2.115069627761841,-6.8,11.9
molecule_323,-2.9117791652679443,-6.8,13.5
molecule_324,-2.138266086578369,-6.6,5.3
molecule_325,-1.630867838859558,-6.3,7.6
molecule_326,-3.206143856048584,-6.8,5.9
molecule_327,-3.3656246662139893,-6.4,6.0
molecule_328,-3.4526419639587402,-6.8,3.8
molecule_329,-3.2089645862579346,-6.7,10.7
molecule_330,-3.0955650806427,-6.8,8.9
molecule_331,-2.564682722091675,-6.4,13.1
molecule_332,-1.956429123878479,-6.6,10.6
molecule_333,-2.621058464050293,-7.4,12.2
molecule_334,-3.505885601043701,-6.8,11.1
molecule_335,-3.2342910766601562,-6.9,9.7
molecule_336,-3.7583253383636475,-5.8,4.1
molecule_337,-3.3809564113616943,-6.6,8.4
molecule_338,-2.4217300415039062,-6.4,5.1
molecule_339,-2.967590570449829,-6.8,8.0
molecule_340,-4.020102024078369,-6.9,11.0
molecule_341,-2.2943902015686035,-6.5,8.9
molecule_342,-3.293998956680298,-6.9,11.5
molecule_343,-2.210822343826294,-6.3,3.7
molecule_344,-2.2716968059539795,-6.7,6.4
molecule_345,-3.4780361652374268,-5.8,7.8
molecule_346,-3.3083784580230713,-6.5,15.4
molecule_347,-2.0690059661865234,-5.8,2.6
molecule_348,-2.3889496326446533,-7.0,8.7
molecule_349,-2.934483766555786,-7.1,6.5
molecule_350,-2.298837184906006,-6.5,7.0
molecule_351,-3.5807712078094482,-7.2,7.1
molecule_352,-3.2631285190582275,-7.5,3.3
molecule_353,-3.501818895339966,-6.8,15.3
molecule_354,-2.0339255332946777,-6.7,12.1
molecule_355,-3.016123056411743,-6.9,16.2
molecule_356,-3.1421725749969482,-6.0,0.7
molecule_357,-2.5351057052612305,-7.6,12.8
molecule_358,-2.9094269275665283,-6.8,6.8
molecule_359,-3.232854127883911,-7.2,6.1
molecule_360,-3.227017641067505,-6.7,3.6
molecule_361,-1.0746612548828125,-6.3,7.7
molecule_362,-2.6091926097869873,-6.5,12.1
molecule_363,-1.7818034887313843,-6.1,5.4
molecule_364,-2.6474711894989014,-6.6,-1.7
molecule_365,-2.8722760677337646,-6.5,-1.3
molecule_366,-3.261368989944458,-7.0,2.6
molecule_367,-3.6013171672821045,-7.7,17.1
molecule_368,-2.871537685394287,-6.7,11.2
molecule_369,-2.9448859691619873,-6.7,6.7
molecule_370,-3.1780455112457275,-6.9,-0.2
molecule_371,-2.819234609603882,-7.1,9.0
molecule_372,-3.0587620735168457,-7.1,10.4
molecule_373,-2.506632089614868,-6.1,5.0
molecule_374,-4.122553825378418,-7.5,21.3
molecule_375,-3.916999101638794,-8.6,30.6
molecule_376,-3.267582654953003,-7.6,24.0
molecule_377,-3.541698694229126,-8.2,13.8
molecule_378,-1.9147390127182007,-7.6,3.9
molecule_379,-3.798231363296509,-7.7,33.1
molecule_380,-3.3989906311035156,-7.4,25.0
molecule_381,-4.024631977081299,-8.3,11.9
molecule_382,-4.05958366394043,-7.1,16.2
molecule_383,-2.4249563217163086,-7.8,10.8
molecule_384,-1.4165509939193726,-6.1,-3.7
molecule_385,-1.807263970375061,-6.5,8.3
molecule_386,-1.8089878559112549,-6.0,3.2
molecule_387,-3.708251714706421,-7.1,6.1
molecule_388,-2.071242094039917,-6.6,3.0
molecule_389,-2.888397693634033,-6.0,-1.4
molecule_390,-1.886022686958313,-6.3,0.4
molecule_391,-3.498987913131714,-6.7,7.4
molecule_392,-3.346325635910034,-7.3,3.5
molecule_393,-2.976106882095337,-6.3,4.5
molecule_394,-2.429422616958618,-6.4,2.3
molecule_395,-1.4442698955535889,-6.8,4.3
molecule_396,-3.056218385696411,-7.9,6.8
molecule_397,-3.0861852169036865,-6.1,4.2
molecule_398,-3.448920488357544,-7.8,2.5
molecule_399,-2.8592960834503174,-7.7,5.2
molecule_400,-3.2474496364593506,-7.5,4.3
molecule_401,-2.362229108810425,-6.7,7.6
molecule_402,-2.5349409580230713,-6.4,11.4
molecule_403,-2.7299811840057373,-5.3,-3.1
molecule_404,-2.259366273880005,-7.8,-1.0
molecule_405,-1.2305606603622437,-6.7,-3.8
molecule_406,-2.6942546367645264,-6.4,5.5
molecule_407,-3.4571807384490967,-6.1,10.0
molecule_408,-3.401926279067993,-7.5,2.8
molecule_409,-3.7068896293640137,-6.3,-1.6
molecule_410,-3.334233045578003,-6.5,-2.2
molecule_411,-2.710793972015381,-6.2,2.9
molecule_412,-2.378471851348877,-5.7,-1.9
molecule_413,-3.811603307723999,-7.1,10.1
molecule_414,-3.1741127967834473,-6.8,5.1
molecule_415,-2.391509771347046,-6.6,9.6
molecule_416,-2.691244602203369,-8.4,10.0
molecule_417,-1.212160348892212,-6.7,25.3
molecule_418,-2.982383966445923,-8.5,1.6
molecule_419,-3.3856399059295654,-7.1,-1.5
molecule_420,-1.55732262134552,-5.8,-4.1
molecule_421,-2.159029960632324,-7.3,-3.3
molecule_422,-0.7691851258277893,-6.6,-2.5
molecule_423,-1.1084263324737549,-6.4,-3.2
molecule_424,-3.4210236072540283,-6.0,2.1
molecule_425,-0.9408102631568909,-7.0,19.5
molecule_426,-3.571512222290039,-8.7,2.4
molecule_427,-2.6072728633880615,-8.3,7.6
molecule_428,-1.870498776435852,-6.9,4.4
molecule_429,-3.35565447807312,-6.8,11.3
molecule_430,-4.460367202758789,-7.9,21.0
molecule_431,-4.832189559936523,-8.0,25.6
molecule_432,-2.5463016033172607,-6.4,-3.6
molecule_433,-3.53341007232666,-6.9,-0.6
molecule_434,-1.69368577003479,-6.0,3.6
molecule_435,-2.4954497814178467,-5.9,2.7
molecule_436,-3.2033803462982178,-7.5,10.7
molecule_437,-4.382076263427734,-7.7,24.1
molecule_438,-2.994370698928833,-7.6,11.7
molecule_439,-2.1659793853759766,-7.2,5.6
molecule_440,-3.390099287033081,-7.2,15.9
molecule_441,-1.8086165189743042,-7.1,-1.0
molecule_442,-1.6909691095352173,-8.5,-1.8
molecule_443,-3.259937047958374,-7.5,-5.3
molecule_444,-1.6722241640090942,-6.5,0.9
molecule_445,-1.801558494567871,-7.9,0.7
molecule_446,-2.196018695831299,-7.4,2.9
molecule_447,-2.117297410964966,-6.5,3.2
molecule_448,-3.4106504917144775,-7.4,23.4
molecule_449,-3.341489553451538,-7.6,14.3
molecule_450,-3.495925188064575,-7.3,10.6
molecule_451,-3.587777853012085,-6.9,11.6
molecule_452,-1.3402496576309204,-6.4,3.2
molecule_453,-3.6626710891723633,-6.8,14.4
molecule_454,-3.431133508682251,-7.2,20.9
molecule_455,-3.575948476791382,-6.9,16.2
molecule_456,-2.9231231212615967,-7.4,18.6
molecule_457,-3.074310541152954,-6.5,11.7
molecule_458,-3.6437506675720215,-6.7,-2.9
molecule_459,-2.921692371368408,-7.7,17.9
molecule_460,-3.7567059993743896,-8.6,26.1
molecule_461,-3.07639741897583,-7.7,21.0
molecule_462,-3.3195688724517822,-7.5,23.4
molecule_463,-2.9520771503448486,-7.2,3.6
molecule_464,-4.080467224121094,-6.5,10.5
molecule_465,-0.6216269135475159,-6.8,-3.4
molecule_466,-2.9586172103881836,-7.3,11.2
molecule_467,-3.2334117889404297,-7.3,10.2
molecule_468,-3.6386044025421143,-7.1,5.1
molecule_469,-3.649233818054199,-8.4,2.6
molecule_470,-1.9071252346038818,-7.2,-3.6
molecule_471,-1.1502400636672974,-7.0,-3.1
molecule_472,-1.4480106830596924,-5.1,-4.8
molecule_473,-0.9986324906349182,-5.8,-6.2
molecule_474,-2.746657133102417,-7.4,-1.4
molecule_475,-3.749091863632202,-7.1,1.1
molecule_476,-3.127650499343872,-6.5,-2.8
molecule_477,-1.5054188966751099,-6.3,-3.8
molecule_478,-2.9475862979888916,-5.9,5.5
molecule_479,-3.77398943901062,-7.1,4.4
molecule_480,-2.35103178024292,-6.5,5.0
molecule_481,-0.781019389629364,-5.9,-4.0
